DATE,m1
1/1/1959,478.8
2/1/1959,480.7
3/1/1959,482.2
4/1/1959,482.1
5/1/1959,484.5
6/1/1959,485.1
7/1/1959,486.1
8/1/1959,486.3
9/1/1959,482.1
10/1/1959,478.7
11/1/1959,478.4
12/1/1959,475.7
1/1/1960,476.7
2/1/1960,475.7
3/1/1960,475.3
4/1/1960,472.6
5/1/1960,472.1
6/1/1960,471.5
7/1/1960,474.5
8/1/1960,477.2
9/1/1960,476.9
10/1/1960,473.6
11/1/1960,473.1
12/1/1960,472
1/1/1961,472.9
2/1/1961,474.5
3/1/1961,475.5
4/1/1961,476.7
5/1/1961,478.2
6/1/1961,478.9
7/1/1961,477.6
8/1/1961,479.3
9/1/1961,479.7
10/1/1961,480.7
11/1/1961,483
12/1/1961,483.8
1/1/1962,483.4
2/1/1962,483.9
3/1/1962,483.9
4/1/1962,484.6
5/1/1962,485.4
6/1/1962,485.3
7/1/1962,484.8
8/1/1962,484.1
9/1/1962,480.9
10/1/1962,482.9
11/1/1962,484.9
12/1/1962,486.5
1/1/1963,487.2
2/1/1963,488.5
3/1/1963,489
4/1/1963,491.1
5/1/1963,493
6/1/1963,491.3
7/1/1963,493
8/1/1963,493.7
9/1/1963,494.8
10/1/1963,496.3
11/1/1963,499
12/1/1963,496.4
1/1/1964,496.8
2/1/1964,499.2
3/1/1964,499.4
4/1/1964,500.2
5/1/1964,501.3
6/1/1964,501.8
7/1/1964,505.5
8/1/1964,508.2
9/1/1964,510.6
10/1/1964,511.6
11/1/1964,512.7
12/1/1964,513
1/1/1965,513.7
2/1/1965,514.4
3/1/1965,515.8
4/1/1965,516.3
5/1/1965,513.7
6/1/1965,513.1
7/1/1965,516.1
8/1/1965,518.9
9/1/1965,521.2
10/1/1965,524.5
11/1/1965,525
12/1/1965,526.8
1/1/1966,530.4
2/1/1966,528.7
3/1/1966,529.8
4/1/1966,532.2
5/1/1966,529.5
6/1/1966,530
7/1/1966,524.8
8/1/1966,523.1
9/1/1966,525.2
10/1/1966,521.2
11/1/1966,521.3
12/1/1966,522.5
1/1/1967,522.5
2/1/1967,524.2
3/1/1967,529.7
4/1/1967,526.3
5/1/1967,530.8
6/1/1967,531.5
7/1/1967,533.2
8/1/1967,536.4
9/1/1967,537.8
10/1/1967,538.9
11/1/1967,538.1
12/1/1967,539.1
1/1/1968,540.5
2/1/1968,540.1
3/1/1968,540.8
4/1/1968,542.4
5/1/1968,544.9
6/1/1968,545.8
7/1/1968,545.8
8/1/1968,548
9/1/1968,549
10/1/1968,549.6
11/1/1968,553.7
12/1/1968,554.5
1/1/1969,556.6
2/1/1969,556.7
3/1/1969,554
4/1/1969,552.9
5/1/1969,551.6
6/1/1969,550
7/1/1969,548.1
8/1/1969,546.6
9/1/1969,544.7
10/1/1969,544
11/1/1969,542.9
12/1/1969,540.8
1/1/1970,544.1
2/1/1970,538.1
3/1/1970,537.1
4/1/1970,536.9
5/1/1970,536.8
6/1/1970,535.1
7/1/1970,534.7
8/1/1970,538.2
9/1/1970,540.3
10/1/1970,540.4
11/1/1970,539.6
12/1/1970,538.7
1/1/1971,540.1
2/1/1971,544.9
3/1/1971,547
4/1/1971,548.6
5/1/1971,550.9
6/1/1971,551.9
7/1/1971,553.9
8/1/1971,554.3
9/1/1971,555.1
10/1/1971,555.5
11/1/1971,555.6
12/1/1971,555.5
1/1/1972,558.5
2/1/1972,561.1
3/1/1972,565.9
4/1/1972,567.7
5/1/1972,567.1
6/1/1972,567.4
7/1/1972,571.3
8/1/1972,574.9
9/1/1972,577.7
10/1/1972,580.6
11/1/1972,581.1
12/1/1972,586.4
1/1/1973,589
2/1/1973,586.5
3/1/1973,580
4/1/1973,578.3
5/1/1973,580.6
6/1/1973,580.8
7/1/1973,582.6
8/1/1973,572.7
9/1/1973,570.6
10/1/1973,568
11/1/1973,568.6
12/1/1973,567.8
1/1/1974,563.7
2/1/1974,560.9
3/1/1974,557.9
4/1/1974,555.5
5/1/1974,550.6
6/1/1974,548
7/1/1974,546.2
8/1/1974,541.3
9/1/1974,535.6
10/1/1974,533.9
11/1/1974,531.5
12/1/1974,528.3
1/1/1975,523.7
2/1/1975,522.8
3/1/1975,523.5
4/1/1975,521.1
5/1/1975,525.8
6/1/1975,527.9
7/1/1975,525.4
8/1/1975,524.2
9/1/1975,523.3
10/1/1975,519.9
11/1/1975,518.6
12/1/1975,516.4
1/1/1976,516.8
2/1/1976,520.2
3/1/1976,522.7
4/1/1976,525.3
5/1/1976,524.6
6/1/1976,522.4
7/1/1976,521.4
8/1/1976,521.8
9/1/1976,520.1
10/1/1976,521.6
11/1/1976,522.5
12/1/1976,524.3
1/1/1977,525.2
2/1/1977,525.3
3/1/1977,526.7
4/1/1977,526.7
5/1/1977,526.9
6/1/1977,526.9
7/1/1977,526.6
8/1/1977,527.5
9/1/1977,529.4
10/1/1977,529.9
11/1/1977,530
12/1/1977,531.1
1/1/1978,533.3
2/1/1978,532.2
3/1/1978,531.5
4/1/1978,531.9
5/1/1978,534.7
6/1/1978,533.7
7/1/1978,530.7
8/1/1978,530.5
9/1/1978,529.6
10/1/1978,526.5
11/1/1978,526.5
12/1/1978,526.2
1/1/1979,523.5
2/1/1979,520.1
3/1/1979,518.6
4/1/1979,521.2
5/1/1979,517.6
6/1/1979,517.2
7/1/1979,516.7
8/1/1979,514
9/1/1979,509.8
10/1/1979,506.4
11/1/1979,501.1
12/1/1979,496.5
1/1/1980,494.6
2/1/1980,493.8
3/1/1980,484.9
4/1/1980,474.4
5/1/1980,471
6/1/1980,471.6
7/1/1980,477
8/1/1980,479.8
9/1/1980,482.5
10/1/1980,482.9
11/1/1980,479.8
12/1/1980,472.8
1/1/1981,471.7
2/1/1981,471.4
3/1/1981,472.9
4/1/1981,479.7
5/1/1981,473.5
6/1/1981,469.8
7/1/1981,466.6
8/1/1981,463
9/1/1981,458.6
10/1/1981,458.7
11/1/1981,459.8
12/1/1981,464.1
1/1/1982,469
2/1/1982,466.6
3/1/1982,467.5
4/1/1982,470.6
5/1/1982,465.8
6/1/1982,461.3
7/1/1982,459.5
8/1/1982,462
9/1/1982,467.7
10/1/1982,473.5
11/1/1982,481.1
12/1/1982,486
1/1/1983,487.4
2/1/1983,494.2
3/1/1983,500.1
4/1/1983,499.2
5/1/1983,504
6/1/1983,507
7/1/1983,508.8
8/1/1983,510
9/1/1983,510.8
10/1/1983,513.1
11/1/1983,513.4
12/1/1983,514.2
1/1/1984,514.3
2/1/1984,514.1
3/1/1984,516.4
4/1/1984,517.9
5/1/1984,518.6
6/1/1984,520.9
7/1/1984,519.6
8/1/1984,518.2
9/1/1984,518.7
10/1/1984,517.3
11/1/1984,519.9
12/1/1984,522.8
1/1/1985,527
2/1/1985,530.2
3/1/1985,530.5
4/1/1985,533.1
5/1/1985,536.5
6/1/1985,541.7
7/1/1985,547
8/1/1985,552.5
9/1/1985,558.1
10/1/1985,560.2
11/1/1985,561.7
12/1/1985,566
1/1/1986,565.4
2/1/1986,569.9
3/1/1986,580.7
4/1/1986,589.7
5/1/1986,598.2
6/1/1986,603.8
7/1/1986,612.1
8/1/1986,619.3
9/1/1986,624.9
10/1/1986,630.6
11/1/1986,638.9
12/1/1986,654.1
1/1/1987,655.5
2/1/1987,653.6
3/1/1987,654
4/1/1987,660.1
5/1/1987,660
6/1/1987,654.8
7/1/1987,652.9
8/1/1987,651.7
9/1/1987,651.8
10/1/1987,657.6
11/1/1987,652.7
12/1/1987,649
1/1/1988,651.9
2/1/1988,652.1
3/1/1988,653.9
4/1/1988,655.4
5/1/1988,656.8
6/1/1988,659.6
7/1/1988,659.4
8/1/1988,658.2
9/1/1988,655.8
10/1/1988,653.3
11/1/1988,652.5
12/1/1988,651.8
1/1/1989,648.3
2/1/1989,644.6
3/1/1989,640.8
4/1/1989,633
5/1/1989,626.5
6/1/1989,623.3
7/1/1989,624.7
8/1/1989,626
9/1/1989,625.8
10/1/1989,627.3
11/1/1989,625.8
12/1/1989,627.8
1/1/1990,623.8
2/1/1990,623.5
3/1/1990,623.3
4/1/1990,625.4
5/1/1990,622.9
6/1/1990,622.6
7/1/1990,620.8
8/1/1990,619.8
9/1/1990,619
10/1/1990,614.6
11/1/1990,614.9
12/1/1990,614.5
1/1/1991,614.1
2/1/1991,617.7
3/1/1991,622.2
4/1/1991,624.1
5/1/1991,626
6/1/1991,629.9
7/1/1991,632.6
8/1/1991,634.6
9/1/1991,634.8
10/1/1991,639.9
11/1/1991,644.1
12/1/1991,649.1
1/1/1992,658.3
2/1/1992,667.5
3/1/1992,673.4
4/1/1992,677
5/1/1992,680.5
6/1/1992,681.2
7/1/1992,685.6
8/1/1992,691.5
9/1/1992,700.2
10/1/1992,708.3
11/1/1992,714.8
12/1/1992,720.2
1/1/1993,721.6
2/1/1993,722.2
3/1/1993,724.6
4/1/1993,728.5
5/1/1993,739.2
6/1/1993,745
7/1/1993,750.6
8/1/1993,755.7
9/1/1993,761.5
10/1/1993,764.5
11/1/1993,769.9
12/1/1993,772.1
1/1/1994,773.5
2/1/1994,774.6
